,author1,author2,comp1,comp2,num1,num2,UnifiedDiff,TreeDiff
79,Y,R,Az,HSBC,2,1,0.0958904109589041,0.3769230769230769
80,Y,R,Az,HSBC,2,2,0.0958904109589041,0.3769230769230769
81,Y,R,Az,GSK,2,0,0.0958904109589041,0.35384615384615387
82,Y,R,Az,GSK,2,1,0.0958904109589041,0.3769230769230769
83,Y,R,Az,GSK,2,2,0.0958904109589041,0.3769230769230769
84,J,Y,Uni,Tes,0,0,0.5909090909090909,0.88
85,J,Y,Uni,Tes,0,1,0.5454545454545454,0.88
86,J,Y,Uni,Tes,0,2,0.5,0.72
87,J,Y,Uni,Az,0,0,0.6363636363636364,0.82
88,J,Y,Uni,Az,0,1,0.6818181818181818,0.82
89,J,Y,Uni,Az,0,2,0.3181818181818182,0.9
90,J,J,Uni,Uni,0,1,0.9090909090909091,0.98
91,J,J,Uni,Uni,0,2,0.6363636363636364,0.92
92,J,R,Uni,HSBC,0,0,0.8636363636363636,0.92
93,J,R,Uni,HSBC,0,1,0.7727272727272727,0.9
94,J,R,Uni,HSBC,0,2,0.7727272727272727,0.9
95,J,R,Uni,GSK,0,0,0.8636363636363636,0.92
96,J,R,Uni,GSK,0,1,0.7727272727272727,0.9
97,J,R,Uni,GSK,0,2,0.6363636363636364,0.96
98,J,Y,Uni,Tes,1,0,0.52,0.7096774193548387
99,J,Y,Uni,Tes,1,1,0.48,0.7258064516129032
100,J,Y,Uni,Tes,1,2,0.44,0.6129032258064516
101,J,Y,Uni,Az,1,0,0.6,0.6612903225806451
102,J,Y,Uni,Az,1,1,0.64,0.6935483870967742
103,J,Y,Uni,Az,1,2,0.28,0.7741935483870968
104,J,J,Uni,Uni,1,0,0.8,0.7903225806451613
105,J,J,Uni,Uni,1,2,0.72,0.9516129032258065
106,J,R,Uni,HSBC,1,0,0.68,0.7258064516129032
107,J,R,Uni,HSBC,1,1,0.88,0.9354838709677419
108,J,R,Uni,HSBC,1,2,0.88,0.9354838709677419
109,J,R,Uni,GSK,1,0,0.68,0.7258064516129032
110,J,R,Uni,GSK,1,1,0.88,0.9354838709677419
111,J,R,Uni,GSK,1,2,0.76,0.9838709677419355
112,J,Y,Uni,Tes,2,0,0.5625,0.5
113,J,Y,Uni,Tes,2,1,0.53125,0.5
114,J,Y,Uni,Tes,2,2,0.40625,0.43478260869565216
115,J,Y,Uni,Az,2,0,0.34375,0.4673913043478261
